2458619,"""2019/05/15""","""Wed""",0.89286,0.77783
2458620,"""2019/05/16""","""Thu""",0.89438,0.78134
2458621,"""2019/05/17""","""Fri""",0.8956,0.78517
2458625,"""2019/05/21""","""Tue""",0.89617,0.78572
2458626,"""2019/05/22""","""Wed""",0.89603,0.78966
2458627,"""2019/05/23""","""Thu""",0.89596,0.79003
2458628,"""2019/05/24""","""Fri""",0.89266,0.78762
2458631,"""2019/05/27""","""Mon""",0.89322,0.78876
2458632,"""2019/05/28""","""Tue""",0.89471,0.78942
2458633,"""2019/05/29""","""Wed""",0.8977,0.7915
2458634,"""2019/05/30""","""Thu""",0.89821,0.79282
2458635,"""2019/05/31""","""Fri""",0.89595,0.79268
2458638,"""2019/06/03""","""Mon""",0.89146,0.791
2458639,"""2019/06/04""","""Tue""",0.88923,0.78813
2458640,"""2019/06/05""","""Wed""",0.8889,0.78681
2458641,"""2019/06/06""","""Thu""",0.88649,0.78685
2458642,"""2019/06/07""","""Fri""",0.88265,0.78472
2458645,"""2019/06/10""","""Mon""",0.88405,0.78844
2458646,"""2019/06/11""","""Tue""",0.8832,0.78629
2458647,"""2019/06/12""","""Wed""",0.88439,0.78665
2458648,"""2019/06/13""","""Thu""",0.88667,0.78831
2458649,"""2019/06/14""","""Fri""",0.89097,0.79323
2458652,"""2019/06/17""","""Mon""",0.89048,0.79581
2458653,"""2019/06/18""","""Tue""",0.89329,0.7974
2458654,"""2019/06/19""","""Wed""",0.89143,0.79196
2458655,"""2019/06/20""","""Thu""",0.88548,0.78766
2458656,"""2019/06/21""","""Fri""",0.88192,0.78737
2458659,"""2019/06/24""","""Mon""",0.8779,0.78545
2458660,"""2019/06/25""","""Tue""",0.87868,0.7867
2458661,"""2019/06/26""","""Wed""",0.87938,0.78816
2458662,"""2019/06/27""","""Thu""",0.8797,0.78844
2458663,"""2019/06/28""","""Fri""",0.87909,0.78724
2458667,"""2019/07/02""","""Tue""",0.88512,0.79291
2458668,"""2019/07/03""","""Wed""",0.88625,0.7952
2458669,"""2019/07/04""","""Thu""",0.88638,0.79497
2458670,"""2019/07/05""","""Fri""",0.89097,0.79906
2458673,"""2019/07/08""","""Mon""",0.89162,0.79913
2458674,"""2019/07/09""","""Tue""",0.89226,0.80238
2458675,"""2019/07/10""","""Wed""",0.88892,0.79976
2458676,"""2019/07/11""","""Thu""",0.88816,0.79769
2458677,"""2019/07/12""","""Fri""",0.88821,0.79641
2458680,"""2019/07/15""","""Mon""",0.88803,0.79857
2458681,"""2019/07/16""","""Tue""",0.89177,0.80548
2458682,"""2019/07/17""","""Wed""",0.89105,0.8045
2458683,"""2019/07/18""","""Thu""",0.89032,0.80036
2458684,"""2019/07/19""","""Fri""",0.891,0.7995
