"""Dec 2014""",1.15325,0.81119,119.333,0.63927,0.97536,1.21153,7.7544,1.2880,1103.76,14.521
"""Jan 2015""",1.21152,0.86135,118.223,0.66047,0.94130,1.23951,7.7533,1.3106,1088.52,14.697
"""Feb 2015""",1.25001,0.88114,118.755,0.65244,0.93628,1.28273,7.7553,1.3420,1102.44,14.919
"""Mar 2015""",1.26191,0.92463,120.411,0.66870,0.97995,1.29505,7.7587,1.3411,1114.08,15.239
"""Apr 2015""",1.23311,0.92497,119.539,0.66822,0.96008,1.29174,7.7510,1.3168,1085.65,15.215
"""May 2015""",1.21848,0.89722,120.875,0.64762,0.93282,1.26908,7.7529,1.3559,1094.11,15.288
"""Jun 2015""",1.23660,0.89100,123.725,0.64219,0.93225,1.29633,7.7530,1.4322,1113.90,15.481
"""Jul 2015""",1.28646,0.90935,123.299,0.64279,0.95471,1.35155,7.7517,1.5047,1147.27,15.950
"""Aug 2015""",1.31487,0.89759,122.967,0.64209,0.96861,1.37094,7.7533,1.5280,1179.00,16.558
"""Sep 2015""",1.32670,0.89069,120.143,0.65205,0.97261,1.41700,7.7503,1.5777,1185.25,16.841
"""Oct 2015""",1.30727,0.89085,120.055,0.65185,0.96881,1.38918,7.7501,1.4948,1144.21,16.572
"""Nov 2015""",1.32803,0.93296,122.637,0.65840,1.01054,1.39883,7.7509,1.5258,1154.77,16.629
"""Dec 2015""",1.37047,0.91892,121.702,0.66742,0.99561,1.38023,7.7510,1.4835,1175.01,17.063
"""Jan 2016""",1.42232,0.92117,118.194,0.69530,1.00822,1.42816,7.7825,1.5320,1204.20,18.077
"""Feb 2016""",1.37961,0.90161,114.622,0.69998,0.99223,1.40180,7.7835,1.5080,1217.09,18.433
"""Mar 2016""",1.32262,0.89851,112.924,0.70166,0.98144,1.33313,7.7609,1.4823,1183.31,17.638
"""Apr 2016""",1.28186,0.88145,109.545,0.69853,0.96349,1.30503,7.7559,1.4512,1146.84,17.483
"""May 2016""",1.29421,0.88437,108.937,0.68816,0.97787,1.36716,7.7640,1.4701,1175.14,18.138
"""Jun 2016""",1.28956,0.89050,105.356,0.70531,0.96960,1.35151,7.7623,1.4208,1166.02,18.658
"""Jul 2016""",1.30503,0.90466,104.194,0.76149,0.98301,1.32798,7.7569,1.4019,1141.99,18.618
"""Aug 2016""",1.29944,0.89226,101.197,0.76364,0.97131,1.31043,7.7555,1.3820,1111.00,18.460
"""Sep 2016""",1.31087,0.89149,101.788,0.76120,0.97334,1.31759,7.7565,1.3678,1109.31,19.246
"""Oct 2016""",1.32514,0.90804,103.903,0.81137,0.98764,1.31340,7.7574,1.3983,1129.19,18.894
"""Nov 2016""",1.34380,0.92797,108.689,0.80439,0.99733,1.32921,7.7564,1.4001,1164.25,20.046
"""Dec 2016""",1.33293,0.94810,115.929,0.80058,1.01908,1.36038,7.7588,1.4198,1183.14,20.492
"""Jan 2017""",1.31909,0.94037,114.852,0.80997,1.00764,1.33934,7.7564,1.4027,1180.13,21.420
"""Feb 2017""",1.31099,0.93902,112.914,0.80039,1.00108,1.30493,7.7599,1.3833,1141.40,20.304
"""Mar 2017""",1.33875,0.93548,112.917,0.81006,1.00157,1.31212,7.7660,1.4277,1133.62,19.282
"""Apr 2017""",1.34439,0.93309,110.177,0.79104,1.00076,1.32790,7.7740,1.4354,1135.22,18.782
"""May 2017""",1.36070,0.90542,112.257,0.77403,0.98700,1.34514,7.7871,1.4392,1126.38,18.767
"""Jun 2017""",1.32980,0.89012,110.920,0.78092,0.96797,1.32276,7.7988,1.3832,1131.73,18.136
"""Jul 2017""",1.26888,0.86743,112.376,0.76956,0.96040,1.28155,7.8091,1.3589,1132.71,17.806
"""Aug 2017""",1.26048,0.84653,109.778,0.77220,0.96507,1.26342,7.8217,1.3699,1131.46,17.799
